Channel 1	Channel 1	Channel 1	Channel 1
Cmt Time	Cmt No	Cmt Text	Mean
 	 	 	µS
0:01:34.4	4	proceed	1.876214379
0:02:20.016	7	proceed	1.950180626
0:03:05.965	10	proceed	1.808639999
0:03:51.114	13	proceed	0.6502174997
0:04:35.613	16	proceed	1.911611563
0:05:19.829	19	proceed	1.085058125
0:06:03.611	22	proceed	0.1295412499
0:06:48.727	25	proceed	1.838612503
0:07:32.742	28	proceed	1.787385313
0:08:16.658	31	proceed	0.2602965626
0:09:02.641	34	proceed	0.5618134376
0:09:45.74	37	proceed	1.333666249
0:10:29.589	40	proceed	1.469096875
0:11:13.121	43	proceed	1.014066563
0:11:55.62	46	proceed	1.852735006
0:12:40.986	49	proceed	0.9522181256
0:13:31.185	52	proceed	1.989200623
0:14:15.451	55	proceed	2.396233754
0:14:58.866	58	proceed	1.356267187
0:15:43.265	61	proceed	0.309353125
0:16:27.165	64	proceed	2.140731877
0:17:13.014	67	proceed	3.712099688
0:17:57.246	70	proceed	2.64506625
0:18:39.845	73	proceed	4.320113438
0:19:24.861	76	proceed	2.094191253
0:20:08.41	79	proceed	2.775472501
0:20:52.692	82	proceed	3.701401563
0:21:39.408	85	proceed	3.420513118
0:22:23.824	88	proceed	3.169696255
0:23:09.289	91	proceed	4.054885578
0:23:53.405	94	proceed	3.802192808
0:24:36.821	97	proceed	3.69165406
0:25:19.937	100	proceed	3.32025281
0:26:07.019	103	proceed	2.696366252
0:26:50.501	106	proceed	4.923701877
0:27:36.701	109	proceed	4.98413218
0:28:20.233	112	proceed	4.714451874
0:29:03.265	115	proceed	5.442508803
0:29:47.231	118	proceed	5.625060322
0:30:30.897	121	proceed	4.175741555
0:01:34.4	4	proceed	1.927375001
0:02:20.016	7	proceed	1.59776875
0:03:05.965	10	proceed	1.630261254
0:03:51.114	13	proceed	0.4998237439
0:04:35.613	16	proceed	1.646559999
0:05:19.829	19	proceed	0.8035574999
0:06:03.611	22	proceed	-0.1587175
0:06:48.727	25	proceed	1.860426251
0:07:32.742	28	proceed	1.553056251
0:08:16.658	31	proceed	-0.005733750018
0:09:02.641	34	proceed	0.6819399994
0:09:45.74	37	proceed	2.052665009
0:10:29.589	40	proceed	1.140992501
0:11:13.121	43	proceed	0.7495249992
0:11:55.62	46	proceed	1.840882501
0:12:40.986	49	proceed	0.7527749997
0:13:31.185	52	proceed	1.94481875
0:14:15.451	55	proceed	2.171508751
0:14:58.866	58	proceed	1.160821251
0:15:43.265	61	proceed	0.8959237506
0:16:27.165	64	proceed	2.003240005
0:17:13.014	67	proceed	4.112886259
0:17:57.246	70	proceed	2.439067499
0:18:39.845	73	proceed	4.144046245
0:19:24.861	76	proceed	1.942113748
0:20:08.41	79	proceed	2.971640002
0:20:52.692	82	proceed	3.537228753
0:21:39.408	85	proceed	3.311163751
0:22:23.824	88	proceed	3.125896254
0:23:09.289	91	proceed	4.08741255
0:23:53.405	94	proceed	3.632665004
0:24:36.821	97	proceed	3.811227516
0:25:19.937	100	proceed	3.198842494
0:26:07.019	103	proceed	3.096958749
0:26:50.501	106	proceed	4.777676248
0:27:36.701	109	proceed	5.009364982
0:28:20.233	112	proceed	4.58519626
0:29:03.265	115	proceed	5.455861285
0:29:47.231	118	proceed	5.612686245
0:30:30.897	121	proceed	4.050195013
0:00:44.61	2	FON	1.696351001
0:01:38.204	5	FON	2.261357255
0:03:08.625	11	FON	1.9580745
0:03:53.745	14	FON	1.260959994
0:04:37.791	17	FON	1.8322075
0:05:21.846	20	FON	1.085852501
0:07:34.684	29	FON	1.318736
0:10:32.019	41	FON	0.9630040004
0:11:14.627	44	FON	0.4325697497
0:12:43.841	50	FON	0.3836192497
0:13:33.024	53	FON	2.492091998
0:14:17.8	56	FON	2.050910752
0:16:31.776	65	FON	1.881213749
0:17:15.231	68	FON	4.019581748
0:17:59.375	71	FON	2.352323505
0:19:26.796	77	FON	1.6815135
0:20:10.587	80	FON	3.794049252
0:20:56.075	83	FON	3.132470499
0:21:41.426	86	FON	3.310798502
0:29:05.413	116	FON	5.478252267
0:29:49.301	119	FON	5.499850748
0:00:44.61	2	FON	1.784256127
0:01:38.204	5	FON	2.315546376
0:03:08.625	11	FON	2.08506875
0:03:53.745	14	FON	1.352170123
0:04:37.791	17	FON	2.136165375
0:05:21.846	20	FON	1.375115374
0:07:34.684	29	FON	1.793898624
0:10:32.019	41	FON	1.236266251
0:11:14.627	44	FON	0.9081579997
0:12:43.841	50	FON	0.8763439995
0:13:33.024	53	FON	2.756341375
0:14:17.8	56	FON	1.947888001
0:16:31.776	65	FON	2.117072125
0:17:15.231	68	FON	4.035900991
0:17:59.375	71	FON	2.702561877
0:19:26.796	77	FON	1.990632625
0:20:10.587	80	FON	4.080397007
0:20:56.075	83	FON	3.253644752
0:21:41.426	86	FON	3.514682626
0:29:05.413	116	FON	5.567148005
0:29:49.301	119	FON	5.481046621
0:00:44.61	2	FON	1.743388752
0:01:38.204	5	FON	2.184832001
0:03:08.625	11	FON	1.945761
0:03:53.745	14	FON	1.529005582
0:04:37.791	17	FON	1.987989667
0:05:21.846	20	FON	1.222388499
0:07:34.684	29	FON	1.724915833
0:10:32.019	41	FON	1.164829001
0:11:14.627	44	FON	1.174271002
0:12:43.841	50	FON	1.339547501
0:13:33.024	53	FON	2.862467998
0:14:17.8	56	FON	1.805738251
0:16:31.776	65	FON	2.236589662
0:17:15.231	68	FON	3.966185745
0:17:59.375	71	FON	3.087012168
0:19:26.796	77	FON	2.472218498
0:20:10.587	80	FON	4.173684915
0:20:56.075	83	FON	3.314168834
0:21:41.426	86	FON	3.58293125
0:29:05.413	116	FON	5.606677918
0:29:49.301	119	FON	5.408662579
0:00:44.61	2	FON	1.792894689
0:01:38.204	5	FON	2.024003251
0:03:08.625	11	FON	1.745025125
0:03:53.745	14	FON	1.494428749
0:04:37.791	17	FON	1.753135813
0:05:21.846	20	FON	0.9984377493
0:07:34.684	29	FON	1.50462475
0:10:32.019	41	FON	0.9915650005
0:11:14.627	44	FON	1.219987814
0:12:43.841	50	FON	1.487616001
0:13:33.024	53	FON	2.865385561
0:14:17.8	56	FON	1.777414875
0:16:31.776	65	FON	2.234535184
0:17:15.231	68	FON	3.881813995
0:17:59.375	71	FON	3.423795555
0:19:26.796	77	FON	2.645820061
0:20:10.587	80	FON	4.192565688
0:20:56.075	83	FON	3.275233564
0:21:41.426	86	FON	3.580536751
0:29:05.413	116	FON	5.599152689
0:29:49.301	119	FON	5.318127496
0:02:24.051	8	KIS	1.1492915
0:06:06.206	23	KIS	-0.0889799996
0:06:50.893	26	KIS	1.759119
0:08:19.068	32	KIS	0.1483499997
0:09:04.708	35	KIS	1.23425575
0:09:47.955	38	KIS	3.355535498
0:11:58.897	47	KIS	1.304396001
0:15:02.055	59	KIS	0.7749812496
0:15:45.479	62	KIS	1.685716001
0:18:42.261	74	KIS	3.750105
0:22:25.585	89	KIS	3.526360252
0:23:12.249	92	KIS	4.330653491
0:23:55.578	95	KIS	3.361200748
0:24:38.512	98	KIS	3.723948753
0:25:24.442	101	KIS	2.841328756
0:26:08.825	104	KIS	3.828341249
0:26:52.374	107	KIS	4.750718496
0:27:38.998	110	KIS	4.862113522
0:28:22.485	113	KIS	4.353583737
0:02:24.051	8	KIS	1.812591252
0:06:06.206	23	KIS	0.5174177502
0:06:50.893	26	KIS	2.088912124
0:08:19.068	32	KIS	0.6459262488
0:09:04.708	35	KIS	1.711753374
0:09:47.955	38	KIS	3.559580628
0:11:58.897	47	KIS	1.329323126
0:15:02.055	59	KIS	0.7484942501
0:15:45.479	62	KIS	1.932565001
0:18:42.261	74	KIS	3.925452501
0:22:25.585	89	KIS	3.646774134
0:23:12.249	92	KIS	4.413126492
0:23:55.578	95	KIS	3.37862237
0:24:38.512	98	KIS	3.736704755
0:25:24.442	101	KIS	3.195493374
0:26:08.825	104	KIS	4.47901325
0:26:52.374	107	KIS	4.848655874
0:27:38.998	110	KIS	4.902444258
0:28:22.485	113	KIS	4.447759868
0:02:24.051	8	KIS	1.919041251
0:06:06.206	23	KIS	1.063379333
0:06:50.893	26	KIS	2.237724997
0:08:19.068	32	KIS	0.8468022495
0:09:04.708	35	KIS	1.908945248
0:09:47.955	38	KIS	3.625525922
0:11:58.897	47	KIS	1.279727335
0:15:02.055	59	KIS	0.8932383327
0:15:45.479	62	KIS	2.028100334
0:18:42.261	74	KIS	3.938944333
0:22:25.585	89	KIS	3.697253758
0:23:12.249	92	KIS	4.428408327
0:23:55.578	95	KIS	3.533760921
0:24:38.512	98	KIS	3.787996671
0:25:24.442	101	KIS	3.422164919
0:26:08.825	104	KIS	4.777443594
0:26:52.374	107	KIS	4.811040749
0:27:38.998	110	KIS	4.918344504
0:28:22.485	113	KIS	4.591011409
0:02:24.051	8	KIS	1.829231689
0:06:06.206	23	KIS	1.330057876
0:06:50.893	26	KIS	2.248621934
0:08:19.068	32	KIS	0.9144649372
0:09:04.708	35	KIS	1.928682499
0:09:47.955	38	KIS	3.472424379
0:11:58.897	47	KIS	1.437553626
0:15:02.055	59	KIS	0.9451585622
0:15:45.479	62	KIS	2.030276251
0:18:42.261	74	KIS	3.854289625
0:22:25.585	89	KIS	3.772354257
0:23:12.249	92	KIS	4.391168994
0:23:55.578	95	KIS	3.575203379
0:24:38.512	98	KIS	3.759384254
0:25:24.442	101	KIS	3.500442064
0:26:08.825	104	KIS	4.965766389
0:26:52.374	107	KIS	4.728706623
0:27:38.998	110	KIS	4.876811816
0:28:22.485	113	KIS	4.635682184
0:01:04.623	3	shock	1.37686225
0:02:44.067	9	shock	1.019555752
0:04:13.766	15	shock	0.8300430005
0:04:57.814	18	shock	0.5193124996
0:05:41.863	21	shock	-0.04188174998
0:07:10.911	27	shock	2.117263248
0:07:54.693	30	shock	0.3625984994
0:10:07.974	39	shock	2.367817
0:10:52.04	42	shock	0.06294724995
0:12:18.905	48	shock	1.909530503
0:13:53.036	54	shock	2.564604001
0:14:37.818	57	shock	2.093433253
0:16:05.5	63	shock	1.81953075
0:17:35.248	69	shock	3.756966242
0:19:02.279	75	shock	3.187880748
0:20:30.594	81	shock	4.101520256
0:21:16.093	84	shock	2.978448995
0:22:01.442	87	shock	3.271986249
0:24:58.522	99	shock	3.409344251
0:27:12.386	108	shock	4.836587484
0:27:59.018	111	shock	4.480307498
0:29:25.433	117	shock	5.491945512
0:30:09.316	120	shock	4.79137225
0:00:00.0	1	nothing	3.102664503
0:01:58.221	6	nothing	1.622289247
0:03:28.634	12	nothing	0.59516425
0:06:26.229	24	nothing	2.290102003
0:08:39.076	33	nothing	0.6758607498
0:09:24.726	36	nothing	1.51842475
0:11:34.639	45	nothing	0.8455105004
0:13:03.854	51	nothing	1.50004775
0:15:22.067	60	nothing	0.7288924996
0:16:51.783	66	nothing	2.302061254
0:18:19.397	72	nothing	4.71206425
0:19:46.812	78	nothing	2.696140496
0:22:45.592	90	nothing	3.997205248
0:23:32.257	93	nothing	4.094072757
0:24:15.589	96	nothing	3.895949495
0:25:44.454	102	nothing	3.516456251
0:26:28.837	105	nothing	5.428620501
0:28:42.501	114	nothing	4.611032766
