Channel 1	Channel 1	Channel 1	Channel 1
Cmt Time	Cmt No	Cmt Text	Mean
 	 	 	µS
0:02:19.71	2	FON	11.23355986
0:03:10.372	5	FON	11.42524126
0:03:58.33	8	FON	8.269709561
0:04:45.993	11	FON	3.656620068
0:12:34.347	41	FON	1.554512612
0:18:42.943	65	FON	1.755267398
0:19:26.774	68	FON	3.56176622
0:20:12.509	71	FON	7.24234506
0:20:56.477	74	FON	2.303700907
0:21:44.544	77	FON	4.066563997
0:22:29.419	80	FON	3.787704356
0:23:13.915	83	FON	5.780881295
0:24:00.843	86	FON	4.624936159
0:24:45.362	89	FON	-0.2736056132
0:25:30.146	92	FON	1.961018308
0:28:31.727	104	FON	-1.35994281
0:29:15.806	107	FON	-2.94094962
0:31:28.997	116	FON	1.919796704
0:32:13.979	119	FON	0.06211695571
0:05:32.001	14	KIS	8.426304411
0:06:21.0	17	KIS	3.48338562
0:07:08.007	20	KIS	3.547411328
0:07:54.745	23	KIS	5.543831518
0:08:43.367	26	KIS	2.485699669
0:09:31.015	29	KIS	4.431125534
0:10:15.629	32	KIS	1.856613043
0:11:02.093	35	KIS	4.683279735
0:11:46.164	38	KIS	2.055540058
0:13:18.938	44	KIS	3.229375441
0:14:08.754	47	KIS	4.741489095
0:14:54.409	50	KIS	4.249697895
0:15:40.679	53	KIS	4.179560958
0:16:28.593	56	KIS	1.756241698
0:17:13.352	59	KIS	2.609655627
0:17:58.653	62	KIS	1.546668144
0:26:18.785	95	KIS	0.9698750377
0:27:02.392	98	KIS	-0.3198785482
0:27:48.175	101	KIS	-0.268905196
0:29:59.51	110	KIS	-0.7047476775
0:30:43.965	113	KIS	-0.4978102983
0:00:00.0	1	nothing	11.25957844
0:04:18.347	9	nothing	4.78769392
0:05:06.013	12	nothing	4.379213262
0:05:52.012	15	nothing	5.557306582
0:06:41.01	18	nothing	8.005849151
0:09:51.021	30	nothing	4.21380879
0:11:22.103	36	nothing	3.35790541
0:12:06.185	39	nothing	1.861711441
0:14:28.767	48	nothing	7.973201625
0:17:33.363	60	nothing	1.960900636
0:18:18.661	63	nothing	3.755792383
0:19:02.96	66	nothing	-0.4553428357
0:20:32.525	72	nothing	6.754345845
0:24:20.854	87	nothing	0.7506591419
0:26:38.801	96	nothing	4.620425077
0:27:22.4	99	nothing	3.450044646
0:28:51.748	105	nothing	-2.472182082
0:29:35.814	108	nothing	-1.876763658
0:30:19.529	111	nothing	-1.987702529
0:31:03.978	114	nothing	0.9418051764
0:32:33.993	120	nothing	-0.790634036
0:03:04.529	4	proceed	11.87605767
0:03:52.894	7	proceed	11.34113273
0:04:40.076	10	proceed	3.56387105
0:05:26.992	13	proceed	6.586133708
0:06:16.441	16	proceed	2.81958242
0:07:02.29	19	proceed	3.791290448
0:07:51.222	22	proceed	6.986601261
0:08:37.721	25	proceed	4.481120925
0:09:28.137	28	proceed	2.566345553
0:10:12.22	31	proceed	1.400683119
0:10:57.435	34	proceed	5.584308715
0:11:43.501	37	proceed	2.026961607
0:12:27.683	40	proceed	1.005149497
0:13:16.416	43	proceed	5.459648594
0:14:04.415	46	proceed	-0.4410595747
0:14:49.697	49	proceed	6.150854194
0:15:38.546	52	proceed	5.644202413
0:16:25.628	55	proceed	2.153046797
0:17:10.494	58	proceed	6.955461861
0:17:55.36	61	proceed	-0.9930720456
0:18:39.776	64	proceed	5.637706818
0:19:23.841	67	proceed	-1.543930276
0:20:09.574	70	proceed	4.171543869
0:20:53.556	73	proceed	4.349005907
0:21:39.439	76	proceed	4.66599755
0:22:25.904	79	proceed	5.699115929
0:23:10.62	82	proceed	6.192201064
0:23:56.936	85	proceed	7.206721593
0:24:41.485	88	proceed	-1.040896634
0:25:26.801	91	proceed	3.275672646
0:26:11.516	94	proceed	0.210219769
0:26:59.265	97	proceed	1.719644628
0:27:43.398	100	proceed	0.1535736341
0:28:29.58	103	proceed	-1.575271891
0:29:12.229	106	proceed	-2.142929832
0:29:56.545	109	proceed	1.792407677
0:30:41.594	112	proceed	-1.60688159
0:31:26.293	115	proceed	-1.820739648
0:32:11.476	118	proceed	3.430900419
0:02:39.735	3	shock	15.61375025
0:03:30.381	6	shock	13.17771904
0:07:28.025	21	shock	12.03267545
0:08:14.756	24	shock	8.755267198
0:09:03.389	27	shock	2.350350634
0:10:35.637	33	shock	12.96681829
0:12:54.367	42	shock	7.780236292
0:13:38.95	45	shock	2.148945661
0:15:14.431	51	shock	7.798021046
0:16:00.697	54	shock	5.372077031
0:16:48.612	57	shock	12.37350442
0:19:46.792	69	shock	9.005504071
0:21:16.49	75	shock	6.803313377
0:22:04.556	78	shock	10.2754426
0:22:49.439	81	shock	7.924896487
0:23:33.921	84	shock	6.44617119
0:25:05.369	90	shock	6.71631929
0:25:50.151	93	shock	3.755440673
0:28:08.182	102	shock	0.9734249697
0:31:49.011	117	shock	5.913506452
