no,block,trial,trialProb,trialDoors(1),trialDoors(2),trialOut,trialDelay,optionChosen,responseTime,chooseFind,responseTime
1,1,1,50,2,1,1,20,2,55.4666883,1,13.0600966
2,1,2,50,2,1,1,20,1,50.3166405,0,7.3548412
3,1,3,50,2,1,1,20,2,43.0497926,1,1.2670541
4,1,4,50,2,1,1,20,2,44.3162952,1,2.566049
5,1,5,50,1,2,1,20,2,45.3997196,0,2.6624978
6,1,6,50,1,2,1,20,1,43.0164575,1,1.1074834
7,1,7,50,1,2,1,20,1,53.966323,1,1.3842458
8,1,8,50,2,1,0,20,2,43.1497897,1,2.2143697
9,1,9,50,1,2,0,20,1,42.0497316,1,1.1575881
10,1,10,50,2,1,1,20,1,44.1497139,0,2.7118619
11,1,11,50,1,2,0,20,1,43.299776,1,2.2484452
12,1,12,50,1,2,1,20,1,44.7663772,1,1.5122571
13,1,13,50,1,2,1,20,1,42.5163885,1,1.3358571
14,1,14,50,1,2,0,20,2,41.766472,0,1.2388427
15,1,15,50,1,2,0,20,1,42.7831175,1,2.3356478
16,1,16,50,1,2,0,20,1,44.0163972,1,3.4227075
17,1,17,50,2,1,1,20,2,43.3997283,1,2.1063403
18,1,18,50,1,2,0,20,1,42.433102,1,1.5149263
19,1,19,50,1,2,0,20,1,47.7830645,1,6.2650656
20,1,20,50,2,1,0,20,1,43.0831295,0,1.9178212
21,1,21,50,2,1,0,20,2,46.366382,1,5.3115721
22,1,22,50,1,2,0,20,1,43.0663724,1,2.1015211
23,1,23,50,2,1,0,20,2,45.2330908,1,1.782322
24,1,24,50,2,1,1,20,2,45.1830646,1,1.6982713
25,1,25,50,1,2,1,20,1,42.516617,1,1.2985083
26,1,26,50,2,1,1,20,2,45.2330612,1,3.8573205
27,1,27,50,1,2,1,20,1,43.2831342,1,1.9738431
28,1,28,50,1,2,0,20,1,42.2332253,1,1.0621993
29,1,29,50,2,1,0,20,1,43.4997406,0,1.4428922
30,1,30,50,1,2,1,20,1,43.5497462,1,0.8280351
31,1,31,50,2,1,0,20,2,42.9996864,1,1.4520144
32,1,32,50,1,2,1,20,1,42.716422,1,1.298166
33,1,33,50,2,1,1,20,2,47.7330818,1,2.0722497
34,1,34,50,2,1,0,20,1,44.1831514,0,1.6333423
35,1,35,50,2,1,1,20,2,51.3329823,1,1.5491705
36,1,36,50,2,1,1,20,2,44.7664518,1,1.9667099
37,1,37,50,2,1,1,20,2,43.5163535,1,2.3159833
38,1,38,50,1,2,0,20,1,41.2830032,1,0.8856345
39,1,39,50,1,2,0,20,1,43.9164248,1,1.0930965
40,1,40,50,2,1,0,20,1,43.5164138,0,1.9760728
